topic_id,topic_count,top_keywords,cbim_element,reason
3,122,"파리패션위크, 파리, 준지, 마텔, 조슈아, 컬렉션, 인형, 케데헌, 참석, 원지",표현,"파리패션위크, 준지, 컬렉션 등 브랜드가 글로벌 패션 무대에서 자신을 표현하는 활동을 담고 있음"
6,81,"코오롱, 영업, 이익, 매출, 감소, 증가, 실적, 대비, 흑자, 개선",역량,"코오롱의 영업이익, 매출, 실적 등 재무 성과 지표를 통해 기업 운영 역량을 나타냄"
9,64,"공항, 한섬, 매치, 운학, 금산, 김유정, 참석, 출국, 최우식, 컨셉",표현,"공항, 한섬, 컨셉, 출국, 참석 등 브랜드 앰배서더의 공개적 비주얼 노출 및 브랜드 표현 활동을 나타냄"
15,54,"탄소, 산업, 지원, 수출, 협력, 섬유, 기업, 우리은행, 금융, 소비재",가치,"탄소, 섬유 산업, 수출 협력, 금융 지원 등 산업 지속가능성과 사회적 책임 가치를 지향함"
20,48,"앞산, 제니, 아라미드, 코오롱, 빨래, 인더스, 영업, 이익, 트리, 패션쇼",브랜드 코어,"코오롱, 제니, 아라미드, 패션쇼 등 브랜드 본질적 정체성과 핵심 소재·헤리티지를 반영함"
62,23,"발렌티노, 모리걸, 미쏘, 드레스, 블랙, 가라, 바니, 별세, 리즈, 슬기",표현,발렌티노·드레스·모리걸·미쏘 등 패션 브랜드와 스타일링 관련 표현적 요소를 담은 키워드 집합이다.
67,21,"학술, 섬유, 청소년, 산업, 물류, 테크노, 학회, 지원, 협력, 이랜드",관계,학술·협력·지원·학회·이랜드 등 산업 내 기관·단체 간 협력과 관계 구축 활동을 나타낸다.
68,21,"대구, 바이어, 섬유, 상담, 구국, 전시회, 경전, 안경, 모피, 산업",관계,바이어·상담·전시회·섬유 산업 등 B2B 거래 관계 및 산업 네트워크 형성을 나타내는 키워드 집합이다.
70,21,"컬렉션, 유니클로, 실루엣, 앤더슨, 컬러, 블루, 시즌, 로코, 아이템, 니트",표현,컬렉션·실루엣·컬러·니트·시즌 아이템 등 브랜드의 시즌별 패션 표현과 스타일 요소를 담은 키워드 집합이다.
73,21,"빌딩, 사주, 꼬마, 소각, 이랜드, 예금, 화장품, 가격, 모델, 부트",포지셔닝,빌딩·화장품·가격·모델·예금 등 자산 운용 및 브랜드의 시장 내 가격·위치 전략을 나타낸다.
